"emp_no","dept_name","last_name","first_name"
10002,"Sales","Simmel","Bezalel"
10016,"Sales","Cappelletti","Kazuhito"
10034,"Sales","Swan","Bader"
10041,"Sales","Lenart","Uri"
10050,"Sales","Dredge","Yinghua"
10053,"Sales","Zschoche","Sanjiv"
10060,"Sales","Billingsley","Breannda"
10061,"Sales","Herber","Tse"
10068,"Sales","Brattka","Charlene"
10087,"Sales","Eugenio","Xinglin"
10088,"Sales","Syrzycki","Jungsoon"
10089,"Sales","Flasterstein","Sudharsan"
10093,"Sales","Desikan","Sailaja"
10095,"Sales","Morton","Hilari"
10099,"Sales","Sullins","Valter"
10101,"Sales","Heyers","Perla"
10107,"Sales","Baca","Dung"
10125,"Sales","Hiltgen","Syozo"
10136,"Sales","Pintelas","Zissis"
10148,"Sales","Azumi","Douadi"
10149,"Sales","Perry","Xiadong"
10151,"Sales","Lichtner","Itzchak"
10160,"Sales","Khasidashvili","Debatosh"
10178,"Sales","Litvinov","Valery"
10185,"Sales","Sidhu","Duro"
10199,"Sales","Ranta","Kazuhisa"
10209,"Sales","Ellozy","Yolla"
10214,"Sales","Ciolek","Tadahiko"
10215,"Sales","Duclos","Xiaobin"
10226,"Sales","Plessier","Xinglin"
10228,"Sales","Cesareni","Karoline"
10232,"Sales","Auria","Marko"
10234,"Sales","Bakhtari","Arunachalam"
10236,"Sales","Bade","Susumu"
10237,"Sales","Mandell","Yannis"
10243,"Sales","Pouyioutas","Wonhee"
10248,"Sales","Tempesti","Frederique"
10253,"Sales","Salinas","Zsolt"
10254,"Sales","Brattka","Shen"
10256,"Sales","Radhakrishnan","Irene"
10262,"Sales","Maraist","Mahendra"
10270,"Sales","Hartvigsen","Bedir"
10273,"Sales","Lieblein","Baocai"
10277,"Sales","Schwartzbauer","Isaac"
10291,"Sales","Seghrouchni","Dipayan"
10292,"Sales","Ghelli","Yucel"
10296,"Sales","Lorho","Petter"
10299,"Sales","Stentiford","Ipke"
10302,"Sales","Baer","Faiza"
10304,"Sales","Erie","Bernt"
10306,"Sales","Kilgour","Heng"
10308,"Sales","Holburn","Dzung"
10314,"Sales","Apsitis","Christfried"
10319,"Sales","Miyakawa","Mechthild"
10320,"Sales","Stasinski","Uinam"
10321,"Sales","Ravishankar","Guenter"
10330,"Sales","Bellmore","Kasturi"
10331,"Sales","Binkley","Arto"
10335,"Sales","Bahi","Toshimori"
10346,"Sales","Radwan","Aamod"
10355,"Sales","Cochrane","Satyanarayana"
10361,"Sales","Sidou","Seshu"
10369,"Sales","Toyoshima","Qunsheng"
10370,"Sales","Fandrianto","Clyde"
10374,"Sales","Rosin","Willard"
10375,"Sales","Kalafatis","Dante"
10378,"Sales","Lichtner","Takahira"
10380,"Sales","Kamble","Alejandro"
10388,"Sales","Kaiser","Hironoby"
10398,"Sales","Escriba","Shooichi"
10399,"Sales","Marchegay","Guenter"
10400,"Sales","Nitto","Ortrud"
10403,"Sales","Mungall","Atreyi"
10407,"Sales","Siepmann","Ulf"
10408,"Sales","Kaiser","Martijn"
10410,"Sales","Gecsei","Takahito"
10411,"Sales","Klerer","Lidong"
10417,"Sales","Bakhtari","Bingning"
10427,"Sales","Sudbeck","Khosrow"
10431,"Sales","Bugrara","Patricio"
10442,"Sales","Unno","Volkmar"
10444,"Sales","Rosis","Kazuhira"
10448,"Sales","Oxenboll","Phule"
10449,"Sales","Sudkamp","Aleksandar"
10454,"Sales","Badr","Wonhee"
10455,"Sales","Streng","Sverrir"
10458,"Sales","Engelmann","Gina"
10461,"Sales","Karcich","Gal"
10463,"Sales","Zaiane","Ung"
10468,"Sales","Shobatake","Yoshimitsu"
10472,"Sales","Lodder","Salvador"
10490,"Sales","Vuskovic","Huiqun"
10493,"Sales","Haraldson","Maris"
10499,"Sales","Luft","Maik"
10504,"Sales","Varker","Xiong"
10505,"Sales","Auria","Isamu"
10509,"Sales","Riesenhuber","Abdelwaheb"
10510,"Sales","Slobodova","Keung"
10515,"Sales","Kirkerud","Raimond"
10517,"Sales","Speek","Tiina"
10521,"Sales","Setia","Kwangsub"
10525,"Sales","Lunt","Yuchang"
10532,"Sales","Wossner","Mary"
10533,"Sales","Smailagic","Mohamadou"
10536,"Sales","Sambasivam","Yechiam"
10537,"Sales","Benzmuller","Stella"
10539,"Sales","Reinhard","Yucel"
10541,"Sales","Eiter","Godehard"
10548,"Sales","Gunderson","Ramalingam"
10555,"Sales","Picci","Vitaly"
10559,"Sales","Comellas","Arumugam"
10561,"Sales","Joslin","Serge"
10567,"Sales","Journel","Dietrich"
10568,"Sales","Poulakidas","Gao"
10570,"Sales","Morrin","Alassane"
10573,"Sales","Speel","Tetsushi"
10592,"Sales","Alvarado","Almudena"
10596,"Sales","Coors","Sanjit"
10597,"Sales","Schaad","Lucien"
10600,"Sales","Rettelbach","Emran"
10603,"Sales","Restivo","Wayne"
10616,"Sales","Marwedel","Tommaso"
10619,"Sales","Kusakabe","Vivian"
10629,"Sales","Francisci","Lalit"
10633,"Sales","Herber","Sorina"
10637,"Sales","Frolund","Heejo"
10638,"Sales","Borovoy","Jenwei"
10640,"Sales","Meszaros","Anneke"
10644,"Sales","Benaini","Pranas"
10655,"Sales","Dalton","Remko"
10670,"Sales","McAffer","Shunichi"
10681,"Sales","Garnier","Florina"
10692,"Sales","Bage","Larisa"
10701,"Sales","Zolotykh","Hyuncheol"
10705,"Sales","Wynblatt","Hironobu"
10710,"Sales","Kermarrec","Sorina"
10725,"Sales","Isard","Garnet"
10744,"Sales","Syang","Yaghout"
10754,"Sales","Feinberg","Chenyi"
10765,"Sales","Norsworthy","Goetz"
10767,"Sales","Doering","Monique"
10770,"Sales","Perry","Bedir"
10788,"Sales","Ullian","Frazer"
10795,"Sales","Naudin","Supot"
10804,"Sales","Benantar","Terresa"
10807,"Sales","Zallocco","Munehiro"
10810,"Sales","Lunn","Lijie"
10813,"Sales","Shumilov","Shalesh"
10814,"Sales","Dymetman","Nidapan"
10817,"Sales","Rullman","Uri"
10828,"Sales","Gammage","Godehard"
10832,"Sales","Bergere","Hidde"
10836,"Sales","Leivant","Jianhua"
10837,"Sales","Karlin","Chuanti"
10855,"Sales","Reinhart","Kwangho"
10857,"Sales","Stenning","Fusako"
10862,"Sales","Kadhim","Zhenbing"
10864,"Sales","Spieker","Elliott"
10865,"Sales","Etalle","Danco"
10876,"Sales","Papastamatiou","Vincent"
10878,"Sales","Deville","Lakshmi"
10885,"Sales","Cronau","Rayond"
10889,"Sales","Coors","Cheong"
10890,"Sales","Furudate","Ramzi"
10895,"Sales","Petersohn","Vishwani"
10897,"Sales","Kumaresan","Arno"
10906,"Sales","Carrere","Munehiro"
10914,"Sales","Prochazka","Mizuhito"
10922,"Sales","Wossner","Kyoichi"
10923,"Sales","Maquelin","Younwoo"
10924,"Sales","Atchley","Hironoby"
10953,"Sales","Laventhal","Jahangir"
10955,"Sales","Danley","Urs"
10957,"Sales","Schnabel","Duke"
10959,"Sales","Vigier","Kerryn"
10960,"Sales","Braunschweig","Billur"
10962,"Sales","Kugler","Naraig"
10965,"Sales","Braunschweig","Eckart"
10968,"Sales","Kolinko","Lakshmi"
10977,"Sales","Murrill","Toong"
10981,"Sales","Dulin","Sugwoo"
10996,"Sales","Rahimi","Matk"
10998,"Sales","Kandlur","Marlo"
11002,"Sales","Ulupinar","Bluma"
11008,"Sales","Menhoudj","Gennady"
11009,"Sales","Axelband","Alper"
11015,"Sales","Riesenhuber","Jeanna"
11022,"Sales","Pintelas","Apostol"
11023,"Sales","Driscoll","Yifei"
11024,"Sales","Collavizza","Manton"
11029,"Sales","Itzfeldt","Georgi"
11030,"Sales","Hellwagner","Kwan"
11044,"Sales","Cherinka","Elvia"
11048,"Sales","Demke","Jaques"
11049,"Sales","Apsitis","Gift"
11055,"Sales","Neiman","Shaleah"
11056,"Sales","Speel","Palash"
11057,"Sales","Vural","Adly"
11060,"Sales","Pokrovskii","Genevieve"
11061,"Sales","Erni","Pintsang"
11086,"Sales","Dalphin","Yishai"
11089,"Sales","Henders","Conal"
11092,"Sales","Stamatiou","Narain"
11097,"Sales","Rissanen","Jovan"
11099,"Sales","Spataro","Woody"
11102,"Sales","Carrera","Bernardo"
11109,"Sales","Stamatiou","Chinho"
11120,"Sales","Curless","Masato"
11124,"Sales","Porenta","Gladys"
11144,"Sales","Heinisuo","Carrsten"
11146,"Sales","Masand","Ishfaq"
11149,"Sales","Imataki","Domenico"
11150,"Sales","Garigliano","Geraldo"
11155,"Sales","Yetto","Moon"
11159,"Sales","Schlenzig","Becky"
11163,"Sales","Huttel","Djenana"
11164,"Sales","Limongiello","Alain"
11168,"Sales","Tetzlaff","Shmuel"
11172,"Sales","Sudkamp","Kristian"
11189,"Sales","Bodoff","Dante"
11190,"Sales","Mellouli","Saeko"
11197,"Sales","Fordan","Tadahiro"
11198,"Sales","Gini","Leif"
11205,"Sales","Ebeling","Tayeb"
11206,"Sales","Sury","Steen"
11212,"Sales","Peternell","Teruyuki"
11214,"Sales","Ibel","Elgin"
11222,"Sales","Neimat","Yishai"
11226,"Sales","Akiyama","Margareta"
11237,"Sales","Salinas","Brendon"
11239,"Sales","Kenevan","Gurbir"
11241,"Sales","Clemencon","Yolla"
11248,"Sales","Tsukuda","Uinam"
11254,"Sales","Rindone","Danel"
11256,"Sales","Ratzlaff","Gudjon"
11259,"Sales","Gronowski","Amalendu"
11269,"Sales","Slutz","Garnik"
11271,"Sales","Rajaraman","Hidde"
11272,"Sales","Molenkamp","Frederique"
11282,"Sales","Schaad","Josyula"
11286,"Sales","Gini","Joydip"
11288,"Sales","Eastman","Domenico"
11302,"Sales","Senzako","Shem"
11306,"Sales","Reeken","Subhankar"
11307,"Sales","Dratva","Mohd"
11310,"Sales","Swab","Jianhua"
11315,"Sales","Meriste","Neven"
11318,"Sales","Unno","Gopalakrishnan"
11328,"Sales","Ferriere","Xiong"
11329,"Sales","McConalogue","Limsoon"
11334,"Sales","Vural","Yurij"
11338,"Sales","Hanratty","Kwangsub"
11344,"Sales","Gulak","Paddy"
11353,"Sales","Berztiss","Utpal"
11359,"Sales","Jayawardene","Subhrajyoti"
11360,"Sales","Schach","Fen"
11372,"Sales","Vilarrasa","Susanta"
11377,"Sales","Rosti","Dayanand"
11389,"Sales","Provine","Ronnie"
11401,"Sales","Merey","Huan"
11402,"Sales","Brizzi","Freyja"
11412,"Sales","Demeyer","Werner"
11427,"Sales","Iisaka","Haldun"
11429,"Sales","Kaminger","Nagui"
11430,"Sales","Klassen","Georgi"
11441,"Sales","Aingworth","Marlo"
11443,"Sales","Nivat","Szabolcs"
11468,"Sales","Maksimenko","Navin"
11472,"Sales","Ghandeharizadeh","Constantino"
11478,"Sales","Ginneken","Nidapan"
11480,"Sales","Itschner","Masoud"
11482,"Sales","Deverell","Uri"
11483,"Sales","Mateescu","Zine"
11484,"Sales","Siepmann","Holgard"
11486,"Sales","Ramaiah","Itzchak"
